extracted_name,fixed_name,region,fixed,incorrect_or_ambiguous,country,stemmed_name
JoensuussaPuol,Joensuu ,,x,x,,joensuussapuol
Joh,Joh,,,x,,joh
Johan nes,Johannes,,x,,,johan nes
Johan-nes,Johannes,,x,,,johan-nes
Johannek,Johannes,,x,,,johannek
Johannekeses,Johannes,,x,,,johannekeses
Johannekscs,Johannes,,x,,,johannekscs
Johanneksess,Johannes,,x,,,johannekses
Johanneksessa,Johannes,,x,,,johanneks
JohanneksessaAsu,Johannes,,x,,,johanneksessaasu
JohanneksessaPuo,Johannes,,x,,,johanneksessapuo
Johannes,Johannes,,x,,,johannes
Johannes k,Johannes,,x,,,johannes k
Johannoksessa,Johannes,,x,,,johannoks
Johannoksossa,Johannes,,x,,,johannokso
Joharines,Joharines,,x,,,joharines
Johnneksessa,Johannes,,x,,,johnneks
Jokela,Jokela,other,x,,,jokel
Jokioi sissa,Jokioinen ,other,x,,,jokioi s
Jopäässä,Jopäässä,,,x,,jopä
Joroi nen,Joroinen,,x,,,joroi n
Joroisissa,Joroinen,,x,,,jorois
Joroisisssa,Joroinen,,x,,,joroisis
Jotiannes,Johannes,,x,,,jotiannes
Jotseno,Joutseno,other,x,,,jotseno
Joulsenossa,Joutseno,,x,,,joulseno
Jout seno,Joutseno,,x,,,jout seno
Jout-seno,Joutseno,,x,,,jout-seno
Joutsassa,Joutasa,other,x,,,jouts
Joutse no,Joutseno,,x,,,joutse no
Joutse-no,Joutseno,,x,,,joutse-no
Joutseno K,Joutseno,,x,,,joutseno k
Joutsenos,Joutseno,,x,,,joutsenos
Joutsenossa,Joutseno,,x,,,joutseno
JoutsenossaAvioit,Joutseno,,x,x,,joutsenossaavioi
Jtiukassa,Jtiukassa,,,x,,jtiuka
Juivassa,Jurva,other,x,,,juiva
Jun,Jun,,,x,,jun
Juopiö,Juopiö,,,x,,juopiö
Jur va,Jurva,,x,,,jur v
Jur-va,Jurva,,x,,,jur-v
Jurva k,Jurva,,x,,,jurva k
Jurvalankylässä,Jurvalankylä,,x,,,jurvalankyl
Jurvas,Jurva,,x,,,jurvas
Juualla,Juuka,other,x,,,juual
Juuassa,Juuka,,x,,,juuas
Juuka,Juuka,,x,,,juuka
Juukässa,Juuka,,x,,,juukä
Juupajoella,Juupajoki,other,x,,,juupajoe
Juusti-la,Juustila ,karelia,x,,,juusti-l
Juustilassa,Juustila ,,x,,,juustil
Juustjärvellä,Juustjärvi,karelia,x,,,juustjärv
Juval,Juva ,other,x,,,juval
Juvassa,Juva ,,x,,,juva
Jy väskylän mlk,Jyväskylän mlk,other,x,,,jy väskylän mlk
Jyväs kylä,Jyväskylä,other,x,,,jyväs kyl
Jyväsky lä,Jyväskylä,,x,,,jyväsky l
Jyväsky-lä,Jyväskylä,,x,,,jyväsky-l
Jyväskylä mlk,Jyväskylän mlk,,x,,,jyväskylä mlk
Jyväskylän mlk,Jyväskylän mlk,,x,,,jyväskylän mlk
Jyväskylässä,Jyväskylä,,x,,,jyväskyl
k,k,,,x,,k
Ka,Ka,,,x,,ka
Kä,Kä,,,x,,kä
Ka kisalmi,Käkisalmi,karelia,x,,,ka kisalm
Kä kisalmi,Käkisalmi,,x,,,kä kisalm
Kaar-lela,Kaarlela,other,x,,,kaar-lel
Kaari na,Kaarina,other,x,,,kaari
Kaarina,Kaarina,,x,,,kaar
Kaarinassa,Kaarina,,x,,,kaarin
Kaarle la,Kaarlela,,x,,,kaarle l
Kaarle-la,Kaarlela,,x,,,kaarle-l
Kaas-tnarkku,Kaasmarkku,,x,,,kaas-tnarku
kaat,kaat,,,x,,kaat
Kaatui sodassa,Kaatui sodassa,,,x,,kaatui sod
kaatui v,kaatui v,,,x,,kaatui v
Kaavila,Kaavila,,x,,,kaavil
Kaavilla,Kaavila,,x,,,kaav
Kaerlna,Kaerlna,,,x,,kaerl
Kahilaisissa,Kahilainen,,x,,,kahilais
Kahkaan-pää,Kankaanpää ,other,x,,,kahkaan-p
Kahula,Karhula,other,x,,,kahul
Kai,Kai,,,x,,kai
Kai-paa,Kaipaa ,karelia,x,,,kai-p
Käiantl,Käiantl,,,x,,käiantl
Kailaassa,Kailaa,,x,,,kaila
Kaipaankylä,Kaipaankylä,karelia,x,,,kaipaankyl
Kaipiaisissa,Kaipiainen,other,x,,,kaipiais
Kaivolassa,Kaivola,other,x,,,kaivol
Kajaanin mlk,Kajaanin mlk,,x,,,kajaanin mlk
Kajaanissa,Kajaani ,other,x,,,kajaan
Käki,Käki,,,x,,käki
Käki-salmen mlk,Käkisalmen mlk,karelia,x,,,käki-salmen mlk
Käki-salmi,Käkisalmi,karelia,x,,,käki-salm
Käki-salmi k,Käkisalmi,,x,,,käki-salmi k
Käkisa,Käkisalmi,,x,,,käkis
Kakisal,Käkisalmi,,x,,,kakisal
Käkisal,Käkisalmi,,x,,,käkisal
Käkisal mi,Käkisalmi,,x,,,käkisal m
Käkisal-meri mlk,Käkisalmen mlk,,x,,,käkisal-meri mlk
Käkisalmell,Käkisalmi,,x,,,käkisalmel
KäkisalmellaAsuinp,Käkisalmi,,x,,,käkisalmellaasuinp
Käkisalmen mlk,Käkisalmen mlk,,x,,,käkisalmen mlk
Käkisalmess,Käkisalmi,,x,,,käkisalmes
Käkisalmessa ja Martta Tiira synt,Käkisalmi,,x,x,,käkisalmessa ja martta tiira synt
Käkisalmessa ja veli,Käkisalmi,,x,x,,käkisalmessa ja vel
Käkisalmi,Käkisalmi,,x,,,käkisalm
Käkisalmi Isännän ensimmäisestä avioliitosta,Käkisalmi,,x,x,,käkisalmi isännän ensimmäisestä avioliito
Käkisalmi k,Käkisalmi,,x,,,käkisalmi k
Käkisalmi mlk,Käkisalmi mlk,,x,,,käkisalmi mlk
Käkisalmi Toisesta,Käkisalmi,,x,,,käkisalmi tois
Kakskerta k,Kakskerta,,x,,,kakskerta k
Kakskörta,Kakskerta,,x,,,kakskör
Kal-vala,Kalvala,,x,,,kal-val
Käl-via,Kälviä,other,x,,,käl-v
Kala-ton,Kalaton,,x,,,kala-to
Kalajoella,Kalajoki,other,x,,,kalajoe
Kalannissa,Kalanti,other,x,,,kalan
Kalannisssa,Kalanti,,x,,,kalannis
Kalaselällä,Kalaselkä,,x,,,kalasel
Kalastajasaarento,Kalastajasaarento,,,x,,kalastajasaarento
Kalela,Kalela,,x,,,kalel
Kälviällä,Kälviä,,x,,,kälviä
Kälviällö,Kälviä,,x,,,kälviälö
Kalvolassa,Kalvola,other,x,,,kalvol
Kamu,Kamu,,,x,,kamu
Kan,Kan,,,x,,kan
Kan neljärvi,Kanneljärvi,karelia,x,,,kan neljärv
Kan noljärvi,Kanneljärvi,,x,,,kan noljärv
Kan-kaanpää,Kankaanpää,,x,,,kan-kaanp
Kan-neljärvi,Kanneljärvi,,x,,,kan-neljärv
Kanada,Kanada,,x,,Canada,kanad
Kanga,Kanga,,,x,,kang
Kanga sala,Kangasala,,x,,,kanga sal
Kangas-niemi,Kangasniemi,,x,,,kangas-niem
Kangasa la,Kangasala,,x,,,kangasa l
Kangasiammelia,Kangaslampi,other,x,,,kangasiammel
Kangaslammelia,Kangaslampi,,x,,,kangaslammel
Kangaslammella,Kangaslampi,,x,,,kangaslam
Kangaslammill,Kangaslampi,,x,,,kangaslammil
Kangasluoma,Kangasluoma,,x,,,kangasluom
Kangasniemell,Kangasniemi,other,x,,,kangasniemel
Kangaspellossa,Kangaspelto,karelia,x,,,kangaspelo
Kankaan pää,Kankaanpää,other,x,,,kankaan p
Kankaanpäassä,Kankaanpää,,x,,,kankaanpäa
Kannaksella,Kannas,karelia,x,,,kannaks
Kannas,Kannas,,x,,,kannas
KanneL,Kanneljärvi,,x,,,kannel
Kannel järvi,Kanneljärvi,karelia,x,,,kannel järv
Kannel-järvi,Kanneljärvi,,x,,,kannel-järv
Kanneljär,Kanneljärvi,,x,,,kanneljär
Kanneljär-vi,Kanneljärvi,,x,,,kanneljär-v
Kanneljärvell,Kanneljärvi,,x,,,kanneljärvel
Kanneljärvellä,Kanneljärvi,,x,,,kanneljärv
KanneljärvelläKuol,Kanneljärvi,,x,x,,kanneljärvelläkuol
KanneljärvelläPu,Kanneljärvi,,x,x,,kanneljärvelläpu
Kanneljärvi k,Kanneljärvi,,x,,,kanneljärvi k
Kanneljoella,Kanneljoki,,x,,,kanneljoe
Kannuksella,Kannus,other,x,,,kannuks
Kannus,Kannus,,x,,,kannus
Kapkaanpää,Kankaanpää,other,x,,,kapkaanp
Kaprinassa,Kaprina,,x,,,kaprin
Kaprinossa,Kaprio,,x,,,kaprino
Kapriossa,Kaprio,,x,,Russia,kaprio
Kär,Kär,,,x,,kär
Kar hula,Karhula,other,x,,,kar hul
Kar via,Karvia,other,x,,,kar v
Kär-sämäki,Kärsämäki,other,x,,,kär-sämäk
Karhu,Karhu,,,x,,karhu
Karhula,Karhula,,x,,,karhul
Karhumäellä,Karhumäki ,other,x,,Russia,karhumäe
Karhumäen suunnalla,Karhumäki ,,x,,,karhumäen suun
Karhunvaltimo,Karhunvaltimo,,,x,,karhunvaltimo
Kari,Kari,,,x,,kari
Kari-joki,Karijoki,other,x,,,kari-jok
Kari-nainen,Karinainen,other,x,,,kari-nain
Karijoella,Karijoki,,x,,,karijoe
Karijoki,Karijoki,,x,,,karijok
Karinai-nen,Karinainen,,x,,,karinai-n
Karinaisissa,Karinainen,,x,,,karinais
Karisalmella,Karisalmi,,x,,,karisalm
Karivalla,Karivalla,,,x,,kariv
Karjaaila,Karjaalla,,x,,,karjaail
Karjaella,Karjaalla,,x,,,karjae
Karjala,Karjala,other,x,x,,karjal
Karjala Tl,Karjala,,x,x,,karjala tl
Kärkölässä,Kärkölä,other,x,,,kärköl
Karkus,Karkku,other,x,,,karkus
Karongissa,Karonki,,x,,,karong
Karp-pila,Karppila ,karelia,x,,,karp-pil
Karppilassa,Karppila ,,x,,,karppil
Kärs-tilä,Kärs-tilä,karelia,x,,,kärs-til
Kärsämä ki,Kärsämäki,,x,,,kärsämä k
Kärsämäellä,Kärsämäki,,x,,,kärsämäe
Karstula k,Karstula,other,x,,,karstula k
Karttolassa,Karttula,other,x,,,karttol
Karttuessa,Karttula,,x,,,kartue
KarttuIässä,Karttula,,x,,,kartuiä
Karttulassa,Karttula,,x,,,karttul
Kartussa,Karttula,,x,,,kartu
Karun-ki,Karunki,,x,,,karun-k
Karunassa,Karuna,other,x,,,karun
Karungissa,Karunki,other,x,,,karung
Karvia,Karvia,other,x,,,karv
Karviall,Karvia,,x,,,karvial
Karvialla,Karvia,,x,,,karvia
Kaskinen,Kaskinen,other,x,,,kaskin
Kaskisissa,Kaskinen,other,x,,,kaskis
Käsnäselässä,Käsnäselkä,karelia,x,,,käsnäsel
Kaster,Kaster,,,x,,kaster
Kasvattipojat,Kasvattipojat,,,x,,kasvattipo
kasvattitytär,kasvattitytär,,,x,,kasvattitytär
Katkussa,Katku,,x,,,katku
Kau,Kau,,,x,,kau
Kau kola,Kaukola,,x,,,kau kol
Kau vatsa,Kauvatsa,,x,,,kau vats
Kau-hajokl,Kauhajokl,,x,,,kau-hajokl
Kau-kala,Kaukala,,x,,,kau-kal
Kau-vatsa,Kauvatsa,,x,,,kau-vats
Kauhajo ki,Kauhajoki,,x,,,kauhajo k
Kauk,Kauk,,,x,,kauk
Kauk-lempäälä,Kauk-lempäälä,,,x,,kauk-lempääl
Kaukaasiassa,Kaukaasia,other,x,,,kaukaasia
Kauklempäälässä,Kauklempäälässä,,,x,,kauklempääl
Kaukoassa,Kaukola,,x,,,kaukoa
Kaukola,Kaukola,karelia,x,,,kaukol
Kaukola k,Kaukola,,x,,,kaukola k
Kaukolas,Kaukola,,x,,,kaukolas
Käukolas,Kaukola,,x,,,käukolas
KaukolassaPuo,Kaukola,,x,x,,kaukolassapuo
Kausala,Kausala,other,x,,,kausal
Kaustisissa,Kaustinen,other,x,,,kaustis
Kaustsissa,Kaustinen,,x,,,kausts
Kaut-tua,Kauttua,other,x,,,kaut-tu
Kauttualla,Kauttua,,x,,,kautua
Kavantsaarella,Kavantsaari,karelia,x,,,kavantsaar
Kdt-ka,Kdt-ka,,,x,,kdt-ka
Ke,Ke,,,x,,ke
Ke-rava,Kerava,,x,,,ke-rav
KeBrina,KeBrina,,,x,,kebr
Keikyällä,Keikyä,other,x,,,keikyä
Kellomäellä,Kellomäki,karelia,x,,,kellomäe
Kellomäki,Kellomäki,,x,,,kellomäk
Kemi k,Kemi,,x,,,kemi k
Kemin,Kemi,,x,,,kem
Kemin mlk,Kemin mlk,,x,,,kemin mlk
Kerijoki,Kerijoki,,x,,,kerijok
Kerimäellä,Kerimäki,other,x,,,kerimäe
Kerimäki,Kerimäki,,x,,,kerimäk
Kerimäollä,Kerimäki,,x,,,kerimäo
Kesäiahdell,Kesälahti,other,x,,,kesäiahdel
Kesala,Kesala,,,x,,kesal
Kesälahdelfa,Kesälahti,,x,,,kesälahdelf
Kesätahdella,Kesälahti,,x,,,kesätahd
Kgkemäki,Kokemäki,other,x,,,kgkemäk
Ki,Ki,,,x,,ki
Ki vennapa,Kivennapa,karelia,x,,,ki ven
Kielissä,Kieli,,x,,,kiel
Kiestingissä,Kiestinki,karelia,x,,,kiesting
Kiihtelysvaa,Kiihtelysvaara,karelia,x,,,kiihtelysv
Kiihtelysvaara,Kiihtelysvaara,,x,,,kiihtelysvaar
Kiihtelysvaarall,Kiihtelysvaara,,x,,,kiihtelysvaaral
Kiihtelysvaarass,Kiihtelysvaara,,x,,,kiihtelysvaaras
Kiihtelyvaarassa,Kiihtelysvaara,,x,,,kiihtelyvaar
Kiik-ka,Kiikka,other,x,,,kiik-k
Kiikka,Kiikka,,x,,,kiik
Kiikoisissa,Kiikoinen,other,x,,,kiikois
Kiimasjärvellä,Kiimasjärvi,karelia,x,,,kiimasjärv
Kiimingissä,Kiiminki,other,x,,,kiiming
Kiiskilässä,Kiiskilä,,x,,,kiiskil
Kil-linkoski,Killinkoski,other,x,,,kil-linkosk
Kilpeenjoelia,Kilpeenjoki,karelia,x,,,kilpeenjoel
Kilpeenjoella,Kilpeenjoki,,x,,,kilpeenjoe
Kilpeenjoki,Kilpeenjoki,,x,,,kilpeenjok
Kilpeinjoki,Kilpeenjoki,,x,,,kilpeinjok
Kioretissä,Kioretissä,,,x,,kioret
Kir,Kir,,,x,,kir
Kir vu,Kirvu,,x,,,kir vu
Kirkkonummell,Kirkkonummi,,x,,,kirkkonummel
Kirkkonummella,Kirkkonummi,,x,,,kirkkonum
Kiruvssa,Kirvu,karelia,x,,,kiruv
Kirv,Kirvu,,x,,,kirv
Kirvensalmella,Hirvensalmi,,x,,,kirvensalm
KirvQ,Kirvu,,x,,,kirvq
Kirvu,Kirvu,karelia,x,,,kirvu
Kirvu k,Kirvu,,x,,,kirvu k
Kirvu Miehen ensimmäisestä avioliitosta,Kirvu,,x,x,,kirvu miehen ensimmäisestä avioliito
Kirvu Rouvan edellisestä avioliitosta,Kirvu,,x,x,,kirvu rouvan edellisestä avioliito
Kirvus,Kirvu,,x,,,kirvus
Kirvussa ja Pentti Lehikoinen synt,Kirvu,,x,x,,kirvussa ja pentti lehikoinen synt
KirvussaAsuinp,Kirvu,,x,x,,kirvussaasuinp
KirvussaPuol,Kirvu,,x,x,,kirvussapuol
Kirvussd,Kirvu,,x,,,kirvussd
Kiski,Kiski,,,x,,kisk
Kiteellä,Kitee,,x,,,kite
Kitkassa,Kitka,,x,,,kitk
Kitti lä,Kittilä,,x,,,kitti l
Kittilässä,Kittilä,,x,,,kittil
Kiukai,Kiukainen,other,x,,,kiukai
Kiukainen,Kiukainen,,x,,,kiukain
Kiukainon,Kiukainen,,x,,,kiukaino
Kiukaisissa,Kiukainen,,x,,,kiukais
Kiuruvedel,Kiuruvesi,,x,,,kiuruvedel
Kiuruvedellä,Kiuruvesi,,x,,,kiuruved
Kiuruvesi Lapset ovat kasvatteja,Kiuruvesi,,x,x,,kiuruvesi lapset ovat kasvat
Kiv,Kiv,,,x,,kiv
Kivannavalla,Kivennapa,,x,,,kivannav
Kivefinapa,Kivennapa,,x,,,kivef
Kiven napa,Kivennapa,,x,,,kiven
Kiven-napa,Kivennapa,,x,,,kiven-
Kivenanvalla,Kivennapa,,x,,,kivenanv
Kivenna pa,Kivennapa,,x,,,kivenna p
Kivenna-pa,Kivennapa,,x,,,kivenna-p
Kivennalla,Kivennapa,,x,,,kiven
Kivennapa k,Kivennapa,,x,,,kivennapa k
Kivennapa Rouvan ensimmäisestä avioliitosta,Kivennapa,,x,x,,kivennapa rouvan ensimmäisestä avioliito
KivennavaIla,Kivennapa,,x,,,kivennavail
Kivennavajla,Kivennapa,,x,,,kivennavajl
Kivennaval,Kivennapa,,x,,,kivennaval
Kivennavalja,Kivennapa,,x,,,kivennavalj
Kivennavalla,Kivennapa,,x,,,kivennav
Kivennavalla k,Kivennapa,,x,,,kivennavalla k
KivennavallaKuoli,Kivennapa,,x,x,,kivennavallakuol
KivennavallaPuo,Kivennapa,,x,x,,kivennavallapuo
KivennavallaPuol,Kivennapa,,x,x,,kivennavallapuol
Kivennavalls,Kivennapa,,x,,,kivennavalls
KivennavaMa,Kivennapa,,x,x,,kivennavam
Kivennayalla,Kivennapa,,x,,,kivenaya
Kivennovalla,Kivennapa,,x,,,kivennov
Kivennvalla,Kivennapa,,x,,,kivennv
Kivepr,Kivepr,,,x,,kivepr
Kivijärvellä,Kivijärvi,,x,,,kivijärv
Kivimäessä,Kivimäki,,x,,,kivimäe
Kiviniemi,Kiviniemi,karelia,x,,,kiviniem
Kivioja,Kivioja,,x,,,kivio
Kivistöllä,Kivistö,,x,,,kivistö
Kivonnavalla,Kivennapa,,x,,,kivonnav
Knivistolla,Knivistolla,,,x,,knivisto
Ko,Ko,,,x,,ko
Ko kemäki,Kokemäki,,x,,,ko kemäk
Kodisjoella,Kodisjoki,other,x,,,kodisjoe
Kohtiolahdella,Kohtiolahti,,x,,,kohtiolahd
Koi,Koi,,,x,,koi
Koi visio,Koivisto,,x,,,koi visio
Koi visto,Koivisto,,x,,,koi visto
Koi-järvi,Koijärvi,,x,,,koi-järv
Koijär vi,Koijärvi,,x,,,koijär v
Koijäryi,Koijärvi,,x,,,koijäryi
Koijävi,Koijärvi,,x,,,koijäv
Koikyä,Keikyä,,x,,,koiky
Koikyällä,Keikyä,,x,,,koikyä
Koiv,Koiv,,,x,,koiv
Koivis,Koivisto,,x,,,koivis
Koivis to,Koivisto,,x,,,koivis to
Koivisiolla,Koivisto,,x,,,koivisio
Koivisto Arvo Marjasen edellisestä avioliitosta,Koivisto,,x,x,,koivisto arvo marjasen edellisestä avioliito
Koivisto k,Koivisto,,x,,,koivisto k
Koivistol,Koivisto,,x,,,koivistol
Koivistolla,Koivisto,,x,,,koivisto
Koivistolla ja sisko,Koivisto,,x,x,,koivistolla ja sisko
KoivistollaAsuin,Koivisto,,x,x,,koivistollaasu
KoivistollaAsuinp,Koivisto,,x,x,,koivistollaasuinp
KoivistollaPuol,Koivisto,,x,x,,koivistollapuol
Koiviston mlk,Koiviston mlk,,x,,,koiviston mlk
Koivistos,Koivisto,,x,,,koivistos
Koivulahdella,Koivulahti,other,x,,,koivulahd
Koivulahti,Koivulahti,,x,,,koivulaht
Kok kola,Kokkola,,x,,,kok kol
Koke mäki,Kokemäki,,x,,,koke mäk
Kokem,Kokemäki,,x,,,kokem
Kokema ki,Kokemäki,,x,,,kokema k
Kokemäellä,Kokemäki,,x,,,kokemäe
Kokemäki k,Kokemäki,,x,,,kokemäki k
Kokkofa,Kokkola,,x,,,kokkof
Kokkolassa,Kokkola,,x,,,kokkol
Kokkols,Kokkola,,x,,,kokkols
Koko mäki,Kokomäki,,x,,,koko mäk
Kokoisissa,Kokoinen,,x,,,kokois
Kokomäellä,Kokomäki,,x,,,kokomäe
Kölnissä,Köln,other,x,,germany,köln
Komisyrjenissä,Komisyrjenissä,,,x,,komisyrjen
Konginkankaall,Konginkangas,other,x,,,konginkankaal
Konginkankaalla,Konginkangas,,x,,,konginkank
Konnevedellä,Konnevesi,,x,,,konneved
Kontio,Kontio,,,x,,kontio
Kontioiahdelia,Kontiolahti,other,x,,,kontioiahdel
Kontiolah,Kontiolahti,,x,,,kontiolah
Kontiolahdell,Kontiolahti,,x,,,kontiolahdel
Kontiolahdella,Kontiolahti,,x,,,kontiolahd
Kontiolahti,Kontiolahti,,x,,,kontiolaht
Kontiolahti k,Kontiolahti,,x,,,kontiolahti k
KontiolalKiella,Kontiola,,x,,,kontiolalkie
Kontiolassa,Kontiola,,x,,,kontiol
Kööpenhaminassa,Kööpenhamina,,x,,denmark,kööpenhamin
Kootemajärvellä,Kootemajärvellä,,,x,,kootemajärv
Koprinassa,Koprina,karelia,x,,,koprin
Koreholmassa,Koreholma,,x,,,koreholm
Korpi lahti,Korpilahti,,x,,,korpi laht
Korpi-selkä,Korpiselkä,,x,,,korpi-selk
Korpilahdel,Korpilahti,other,x,,,korpilahdel
KorpilahdellaAv,Korpilahti,,x,,,korpilahdellaav
Korpilahdessa,Korpilahti,,x,,,korpilahd
Korpilahti,Korpilahti,,x,,,korpilaht
Korpisel-kä,Korpiselkä,karelia,x,,,korpisel-k
Korpiselailä,Korpiselkä,,x,,,korpiselail
Korpiseläliä,Korpiselkä,,x,,,korpiseläl
Korpiselällä,Korpiselkä,,x,,,korpisel
Körpiselällä,Korpiselkä,,x,,,körpisel
Korpiselkä,Korpiselkä,,x,,,korpiselk
Korpisella,Korpiselkä,,x,,,korpis
Korpisofkä,Korpiselkä,,x,,,korpisofk
Korshol,Korsholm,other,x,,,korshol
Kortesjär-vi,Kortesjärvi,,x,,,kortesjär-v
Kortesjärveliä,Kortesjärvi,,x,,,kortesjärvel
Kortesjärvelll,Kortesjärvi,,x,,,kortesjärvell
Korvenkylässä,Korvenkylä,other,x,,,korvenkyl
Kos,Kos,,,x,,kos
Koski Hl,Koski HI,other,x,,,koski hl
Koski TL,Koski TL,other,x,,,koski tl
KoskiHl,Koski Hl,other,x,,,koskihl
Kot,Kot,,,x,,kot
Kot ka,Kotka,,x,,,kot k
Kot-ka,Kotka,,x,,,kot-k
Kotkas,Kotka,,x,,,kotkas
Kotkassa,Kotka,,x,,,kotk
Kotkatjärvellä,Kotkatjärvellä,,,x,,kotkatjärv
Kotkq,Kotka,,x,,,kotkq
Kotolassa,Kotola,,x,,,kotol
Kou vola,Kouvola,,x,,,kou vol
Koukola,Kaukola,,x,,,koukol
Kouv,Kouvola,,x,,,kouv
Kouvo la,Kouvola,,x,,,kouvo l
Kouvola,Kouvola,other,x,,,kouvol
Kouvola Uuno Rautiaisen ensimmäisestä avioliitosta,Kouvola,,x,x,,kouvola uuno rautiaisen ensimmäisestä avioliito
Kouvolassa Toivo Juvosen sisarukset,Kouvola,,x,x,,kouvolassa toivo juvosen sisaruks
Kouvolo,Kouvola,,x,,,kouvolo
Kovistella,Kovistella,,,x,,kovist
Kövliössä,Köyliö,,x,,,kövliö
Köy-liö,Köyliö,,x,,,köy-liö
kranaatin räjähdykseen,kranaatin räjähdykseen,,,x,,kranaatin räjähdyks
Kreikassa,Kreikka,other,x,,greek,kreika
Kristiinankaupu,Kristiinankaupunki,other,x,,,kristiinankaupu
Kristiinankaupungi,Kristiinankaupunki,,x,,,kristiinankaupung
Kristiinankaupungis,Kristiinankaupunki,,x,,,kristiinankaupungis
Kristiinassa,Kristiina,,x,,,kristiin
Krivissä,Krivi,karelia,x,,,kriv
Kruunupyys,Kruunupyy,,x,,,kruunupyys
Ku,Ku,,,x,,ku
Ku ru,Ku ru,,,x,,ku ru
Kubanessa,Kubane,,x,,,kuban
Kuh,Kuh,,,x,,kuh
Kuh moinen,Kuhmoinen,,x,,,kuh moin
Kuhmalahdessa,Kuhmalahti,,x,,,kuhmalahd
Kuhmoisissa,Kuhmoinen,,x,,,kuhmois
Kuhmoniemellä,Kuhmoniemi,,x,,,kuhmoniem
Kuhmos,Kuhmoinen,,x,,,kuhmos
Kuittisissa,Kuittinen,karelia,x,,,kuittis
Kuiva-niemi,Kuivaniemi,,x,,,kuiva-niem
Kuivaniemi,Kuivaniemi,other,x,,,kuivaniem
Kul-laa,Kullaa,other,x,,,kul-l
KullaalJa,Kullaa,,x,,,kullaalj
Kumlingessä,Kumlinge,,x,,,kumling
Kunksjärvellä,Kunksjärvi,,x,,,kunksjärv
Kuo,Kuo,,,x,,kuo
Kuo lemajarvi,Kuolemajärvi,,x,,,kuo lemajarv
Kuo lemajärvi,Kuolemajärvi,,x,,,kuo lemajärv
Kuo-lemajärvi,Kuolemajärvi,,x,,,kuo-lemajärv
Kuo-pio,Kuopio,,x,,,kuo-pio
Kuoemajärvi,Kuolemajärvi,,x,,,kuoemajärv
Kuoiemajärvaliä,Kuolemajärvi,,x,,,kuoiemajärval
KuoJema-järvi,Kuolemajärvi,,x,,,kuojema-järv
Kuokkalassa,Kuokkala,,x,,,kuokkal
Kuokkanie-mi,Kuokkaniemi,,x,,,kuokkanie-m
Kuokkaniemessä,Kuokkaniemi,,x,,,kuokkaniem
Kuokkasissa,Kuokkanen,,x,,,kuokkas
Kuokolahti,Ruokolahti,,x,,,kuokolaht
Kuolajärvellä,Kuolajärvi,karelia,x,,,kuolajärv
Kuole,Kuolemajärvi,,x,,,kuole
Kuole majärvi,Kuolemajärvi,,x,,,kuole majärv
Kuole rnajärvi,Kuolemajärvi,,x,,,kuole rnajärv
Kuole-majarvi,Kuolemajärvi,,x,,,kuole-majarv
Kuole-majärvi,Kuolemajärvi,,x,,,kuole-majärv
Kuole-msjärvi,Kuolemajärvi,,x,,,kuole-msjärv
Kuolema,Kuolemajärvi,,x,,,kuolem
Kuolema-järvi,Kuolemajärvi,,x,,,kuolema-järv
Kuolema-järvl,Kuolemajärvi,,x,,,kuolema-järvl
Kuolemaiärveilä,Kuolemajärvi,,x,,,kuolemaiärveil
Kuolemajäiyellä,Kuolemajärvi,,x,,,kuolemajäiye
Kuolemajar,Kuolemajärvi,,x,,,kuolemajar
Kuolemajär,Kuolemajärvi,,x,,,kuolemajär
Kuolemajär vi,Kuolemajärvi,,x,,,kuolemajär v
Kuolemajär-vi,Kuolemajärvi,,x,,,kuolemajär-v
Kuolemajär-vt,Kuolemajärvi,,x,,,kuolemajär-vt
Kuolemajärväliä,Kuolemajärvi,,x,,,kuolemajärväl
Kuolemajärveflä,Kuolemajärvi,,x,,,kuolemajärvefl
Kuolemajärveilä,Kuolemajärvi,,x,,,kuolemajärveil
Kuolemajarvel,Kuolemajärvi,,x,,,kuolemajarvel
KuolemajärveliäPuo,Kuolemajärvi,,x,x,,kuolemajärveliäpuo
Kuolemajärvell,Kuolemajärvi,,x,,,kuolemajärvel
KuolemajärvelläP,Kuolemajärvi,,x,,,kuolemajärvelläp
KuolemajärvelläPuo,Kuolemajärvi,,x,x,,kuolemajärvelläpuo
Kuolemajärvellö,Kuolemajärvi,,x,,,kuolemajärvelö
Kuolemajärvetlä,Kuolemajärvi,,x,,,kuolemajärvetl
Kuolemajärvi Hän on Niklas Rusin edellisestä avioliitosta,Kuolemajärvi,,x,x,,kuolemajärvi hän on niklas rusin edellisestä avioliito
Kuolemajärvi k,Kuolemajärvi,,x,,,kuolemajärvi k
KuolemajärvoI,Kuolemajärvi,,x,,,kuolemajärvoi
Kuolemajärvollä,Kuolemajärvi,,x,,,kuolemajärvo
KuolemajBrvallä,Kuolemajärvi,,x,,,kuolemajbrv
Kuolemajirvellä,Kuolemajärvi,,x,,,kuolemajirv
Kuolemajör,Kuolemajärvi,,x,,,kuolemajör
Kuolemejäfvellä,Kuolemajärvi,,x,,,kuolemejäfv
Kuolemo-järvi,Kuolemajärvi,,x,,,kuolemo-järv
Kuolemojärvellä,Kuolemajärvi,,x,,,kuolemojärv
